City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Hedaru,TZ,2021-05-31 02:20:32,-4.5,37.9,63.01,93,88,3.15
213,Palmer,US,2021-05-31 02:20:32,42.1584,-72.3287,48.61,86,90,1.01
214,Bajil,YE,2021-05-31 02:20:33,15.0584,43.2851,87.51,40,0,5.39
215,Palmerston,AU,2021-05-31 02:20:33,-12.486,130.9833,84.88,59,75,7.65
216,Alofi,NU,2021-05-31 02:20:33,-19.0595,-169.9187,84.09,74,63,8.05
217,Laerdalsoyri,NO,2021-05-31 02:20:34,61.098,7.4816,59.77,68,81,1.72
218,Siguiri,GN,2021-05-31 02:20:34,11.6667,-9.5,80.04,69,100,7.31
219,Bowen,AU,2021-05-31 02:20:34,-20.0167,148.2333,75.42,59,97,19.51
220,Tessalit,ML,2021-05-31 02:20:35,20.1986,1.0114,91.35,10,68,5.77
221,Penzance,GB,2021-05-31 02:20:35,50.1186,-5.5371,52.81,91,0,12.17
222,Bathsheba,BB,2021-05-31 02:20:35,13.2167,-59.5167,81.21,65,75,18.12
223,Povenets,RU,2021-05-31 02:20:36,62.8487,34.8262,40.21,77,64,7.65
224,Pudozh,RU,2021-05-31 02:20:36,61.8099,36.5345,37.85,70,87,3.91
225,Baicheng,CN,2021-05-31 02:20:36,45.6167,122.8167,75.49,29,100,13.44
226,Hibbing,US,2021-05-31 02:20:37,47.4272,-92.9377,52.45,93,75,4.61
227,Kingston,JM,2021-05-31 02:19:53,17.997,-76.7936,83.35,73,20,12.66
228,Mount Lebanon,US,2021-05-31 02:16:43,40.3554,-80.0495,53.74,89,1,1.01
229,Namibe,AO,2021-05-31 02:20:38,-15.1961,12.1522,73.31,56,85,6.04
230,Sao Lourenco Do Oeste,BR,2021-05-31 02:20:38,-26.3592,-52.8511,44.65,78,22,4.43
231,Saldanha,ZA,2021-05-31 02:20:38,-33.0117,17.9442,51.85,86,93,4.76
232,Rosarito,MX,2021-05-31 02:20:39,32.3333,-117.0333,65.05,73,28,5.75
233,Celestun,MX,2021-05-31 02:20:39,20.8667,-90.4,81.39,75,81,10.11
234,Karlstad,SE,2021-05-31 02:20:39,59.3793,13.5036,48.76,76,42,5.7
235,Luderitz,NA,2021-05-31 02:20:40,-26.6481,15.1594,56.23,65,0,15.19
236,Siilinjarvi,FI,2021-05-31 02:16:12,63.0833,27.6667,48.22,66,0,6.6
237,Asau,RO,2021-05-31 02:20:40,46.4333,26.4,49.28,100,100,1.52
238,Lumberton,US,2021-05-31 02:18:55,34.6182,-79.0086,61.09,64,100,4.68
239,Samtredia,GE,2021-05-31 02:20:41,42.1537,42.3352,57.47,94,0,6.64
240,Gat,IL,2021-05-31 02:20:00,31.61,34.7642,79.39,27,0,5.99
241,Chuy,UY,2021-05-31 02:20:41,-33.6971,-53.4616,42.19,75,3,5.82
242,Chokurdakh,RU,2021-05-31 02:20:42,70.6333,147.9167,66.74,22,6,13.2
243,San Rafael,AR,2021-05-31 02:20:42,-34.6177,-68.3301,54.82,48,97,6.31
244,Minuwangoda,LK,2021-05-31 02:20:43,7.1663,79.9533,80.71,86,100,7.4
245,Cockburn Town,TC,2021-05-31 02:17:03,21.4612,-71.1419,80.1,81,16,19.71
246,Virginia Beach,US,2021-05-31 02:18:01,36.8529,-75.978,59.11,82,100,12.75
247,Taksimo,RU,2021-05-31 02:20:43,56.3444,114.8794,43.92,67,100,3.15
248,The Valley,AI,2021-05-31 02:20:44,18.217,-63.0578,80.82,76,5,15.95
249,Bronnoysund,NO,2021-05-31 02:20:44,65.4625,12.1997,46.4,87,90,3.44
250,Cacheu,GW,2021-05-31 02:20:44,12.2706,-16.1658,75.09,73,100,2.62
251,Fortuna,US,2021-05-31 02:19:47,40.5982,-124.1573,77.18,64,91,3.0
252,Adrar,MR,2021-05-31 02:20:45,20.5022,-10.0711,89.53,28,100,11.54
253,Arica,CL,2021-05-31 02:19:32,-18.475,-70.3042,62.83,77,90,1.32
254,Nuuk,GL,2021-05-31 02:20:45,64.1835,-51.7216,34.41,93,75,13.8
255,Sitka,US,2021-05-31 02:20:46,57.0531,-135.33,55.29,71,90,5.75
256,Shihezi,CN,2021-05-31 02:20:46,44.3,86.0333,81.64,19,24,7.31
257,Barcelona,ES,2021-05-31 02:20:46,41.3888,2.159,68.7,73,20,3.0
258,Faanui,PF,2021-05-31 02:20:47,-16.4833,-151.75,79.68,72,100,15.75
259,Salalah,OM,2021-05-31 02:20:47,17.0151,54.0924,82.49,89,75,4.61
260,Sayville,US,2021-05-31 02:20:47,40.7359,-73.0821,51.1,89,90,4.0
261,Whitehorse,CA,2021-05-31 02:20:48,60.7161,-135.0538,57.97,44,75,17.0
262,Kutum,SD,2021-05-31 02:20:48,14.2,24.6667,82.08,22,52,8.39
263,Guerrero Negro,MX,2021-05-31 02:20:48,27.9769,-114.0611,61.7,73,0,17.0
264,San Vicente,AR,2021-05-31 02:20:49,-26.6167,-54.1333,43.84,66,0,3.78
265,Richards Bay,ZA,2021-05-31 02:20:49,-28.783,32.0377,62.29,70,100,2.48
266,Nanortalik,GL,2021-05-31 02:20:49,60.1432,-45.2371,36.19,89,6,17.74
267,Karratha,AU,2021-05-31 02:20:50,-20.7377,116.8463,74.43,54,3,12.5
268,Upernavik,GL,2021-05-31 02:20:50,72.7868,-56.1549,30.83,95,100,3.62
269,Labuhan,ID,2021-05-31 02:20:50,-6.8844,112.2051,83.62,73,48,3.96
270,Nyurba,RU,2021-05-31 02:20:51,63.2842,118.3319,67.42,25,49,6.91
271,Sorong,ID,2021-05-31 02:20:51,-0.8833,131.25,79.66,86,100,9.48
272,Itupiranga,BR,2021-05-31 02:20:52,-5.1347,-49.3267,74.48,81,0,3.18
273,Faya,SA,2021-05-31 02:20:52,18.3851,42.4509,64.51,19,1,4.92
274,Dhulian,IN,2021-05-31 02:20:52,24.6833,87.9667,88.3,68,71,5.32
275,Huaidian,CN,2021-05-31 02:20:53,33.4333,115.0333,88.99,45,63,9.86
276,Naze,JP,2021-05-31 02:20:53,28.3667,129.4833,77.92,80,100,16.96
277,Avera,US,2021-05-31 02:20:53,33.194,-82.5271,64.71,64,0,7.11
278,Yerbogachen,RU,2021-05-31 02:20:54,61.2767,108.0108,60.62,52,51,5.35
279,Launceston,AU,2021-05-31 02:19:19,-41.45,147.1667,50.14,76,90,6.33
280,Nisia Floresta,BR,2021-05-31 02:20:54,-6.0911,-35.2086,77.38,94,99,6.35
281,Sao Joao Da Barra,BR,2021-05-31 02:20:55,-21.6403,-41.0511,72.57,96,100,7.94
282,Ojhar,IN,2021-05-31 02:20:55,20.1,73.9333,78.73,78,18,7.09
283,Katsuura,JP,2021-05-31 02:20:55,35.1333,140.3,75.24,63,0,13.53
284,Comodoro Rivadavia,AR,2021-05-31 02:17:31,-45.8667,-67.5,40.86,87,40,8.05
285,Manado,ID,2021-05-31 02:20:56,1.487,124.8455,88.57,70,40,1.66
286,Iquique,CL,2021-05-31 02:20:56,-20.2208,-70.1431,62.64,81,77,3.42
287,Coquimbo,CL,2021-05-31 02:20:56,-29.9533,-71.3436,53.33,93,7,3.6
288,Buique,BR,2021-05-31 02:20:57,-8.6231,-37.1558,62.85,98,26,4.83
289,Grindavik,IS,2021-05-31 02:20:57,63.8424,-22.4338,42.91,93,75,20.6
290,Kavieng,PG,2021-05-31 02:20:57,-2.5744,150.7967,83.5,77,100,11.59
291,Skibbereen,IE,2021-05-31 02:20:58,51.55,-9.2667,51.6,89,100,4.94
292,Hurricane,US,2021-05-31 02:20:58,37.1753,-113.2899,88.27,15,67,10.2
